predictor,outcome,rho,p_value,n
SIFT_converted_rankscore,Aβ37 [%],-0.18291231779773964,0.2856184846183393,36
SIFT4G_converted_rankscore,Aβ37 [%],-0.33134727100135797,0.04837199938126462,36
Polyphen2_HDIV_rankscore,Aβ37 [%],-0.025150521352367828,0.884236887213596,36
Polyphen2_HVAR_rankscore,Aβ37 [%],-0.06549351700303607,0.7043160724256118,36
MutationTaster_rankscore,Aβ37 [%],0.039798438940776774,0.8177386427569432,36
MutationAssessor_rankscore,Aβ37 [%],-0.2644048204853929,0.1191573376635246,36
PROVEAN_converted_rankscore,Aβ37 [%],-0.25873720849111703,0.12757977482553598,36
VEST4_rankscore,Aβ37 [%],-0.14387794634506648,0.4024970238008755,36
MetaSVM_rankscore,Aβ37 [%],0.2607324456710236,0.12456574654908305,36
MetaLR_rankscore,Aβ37 [%],-0.3162943469794826,0.06019511355947917,36
MetaRNN_rankscore,Aβ37 [%],-0.1450637159655118,0.39858933967053645,36
M-CAP_rankscore,Aβ37 [%],-0.06373441721022828,0.7160564022246915,35
REVEL_rankscore,Aβ37 [%],-0.10430751940963669,0.5449045389359706,36
MutPred2_rankscore,Aβ37 [%],-0.18161925752203828,0.2890965847747208,36
MVP_rankscore,Aβ37 [%],-0.008964841102098045,0.9592366646636161,35
gMVP_rankscore,Aβ37 [%],-0.07285364972180983,0.6728374275018434,36
MPC_rankscore,Aβ37 [%],-0.21263998116683716,0.21309069795426236,36
PrimateAI_rankscore,Aβ37 [%],0.23066031855385727,0.17591103953305073,36
DEOGEN2_rankscore,Aβ37 [%],-0.3055680727283442,0.06993554643323907,36
BayesDel_addAF_rankscore,Aβ37 [%],-0.2660574098497896,0.11678168095104088,36
BayesDel_noAF_rankscore,Aβ37 [%],-0.2835628804543234,0.09375165937412691,36
ClinPred_rankscore,Aβ37 [%],-0.20557379202005668,0.22904959798870364,36
LIST-S2_rankscore,Aβ37 [%],-0.05844114062436176,0.7349401126808126,36
VARITY_R_rankscore,Aβ37 [%],-0.21457073160116075,0.20886690849088435,36
VARITY_ER_rankscore,Aβ37 [%],-0.2573046745475227,0.129776953159128,36
VARITY_R_LOO_rankscore,Aβ37 [%],-0.13502381370702915,0.43236145704559636,36
VARITY_ER_LOO_rankscore,Aβ37 [%],-0.23838332029115158,0.16148306352467798,36
ESM1b_converted_rankscore,Aβ37 [%],-0.3457330444395428,0.03888851204901734,36
AlphaMissense_rankscore,Aβ37 [%],-0.19738621368595435,0.24853415321322683,36
PHACTboost_rankscore,Aβ37 [%],-0.08843975283213182,0.6080084542075979,36
MutFormer_rankscore,Aβ37 [%],-0.32466091327832747,0.05337014392461532,36
MutScore_rankscore,Aβ37 [%],-0.36852626315496373,0.026993266314351224,36
CADD_raw_rankscore,Aβ37 [%],-0.19461964377981705,0.2553609434684949,36
DANN_rankscore,Aβ37 [%],-0.009396318780374766,0.9566249577260265,36
fathmm-XF_coding_rankscore,Aβ37 [%],-0.1914140442916871,0.26342537237552177,36
Eigen-raw_coding_rankscore,Aβ37 [%],-0.413786446116764,0.012118459370833452,36
Eigen-PC-raw_coding_rankscore,Aβ37 [%],-0.4453527291452112,0.0064909666672971055,36
SIFT_converted_rankscore,Aβ38 [%],-0.47267792570618866,0.003601678015410405,36
SIFT4G_converted_rankscore,Aβ38 [%],-0.3595028381357585,0.031281827643540365,36
Polyphen2_HDIV_rankscore,Aβ38 [%],-0.38254668826244514,0.021299041262314446,36
Polyphen2_HVAR_rankscore,Aβ38 [%],-0.31926852432252534,0.057693975338699764,36
MutationTaster_rankscore,Aβ38 [%],-0.07127849625115379,0.6795305071146298,36
MutationAssessor_rankscore,Aβ38 [%],-0.415733244116284,0.011679836914998716,36
PROVEAN_converted_rankscore,Aβ38 [%],-0.5202728793924571,0.001143467902484914,36
VEST4_rankscore,Aβ38 [%],-0.21042806958187202,0.21800150373291305,36
MetaSVM_rankscore,Aβ38 [%],0.3099498004891234,0.06581723521595241,36
MetaLR_rankscore,Aβ38 [%],-0.36088581085721405,0.030590491253751278,36
MetaRNN_rankscore,Aβ38 [%],-0.4878048790588936,0.002545443078809404,36
M-CAP_rankscore,Aβ38 [%],-0.4945724502638963,0.002527001361016053,35
REVEL_rankscore,Aβ38 [%],-0.24864797116646845,0.14365484831141495,36
MutPred2_rankscore,Aβ38 [%],-0.42345067337830083,0.010070907767212998,36
MVP_rankscore,Aβ38 [%],-0.2689263960653302,0.11825386374834387,35
gMVP_rankscore,Aβ38 [%],-0.26063453300640094,0.12471240565675541,36
MPC_rankscore,Aβ38 [%],-0.4775082061499988,0.003229267602449566,36
PrimateAI_rankscore,Aβ38 [%],-0.13411416463835546,0.4354974428836028,36
DEOGEN2_rankscore,Aβ38 [%],-0.3428166866717245,0.04067789353174876,36
BayesDel_addAF_rankscore,Aβ38 [%],-0.4560139014526808,0.00518729944609996,36
BayesDel_noAF_rankscore,Aβ38 [%],-0.4192032958033816,0.0109313322424367,36
ClinPred_rankscore,Aβ38 [%],-0.5520659029476124,0.00048179300933067556,36
LIST-S2_rankscore,Aβ38 [%],-0.006886343158707683,0.9682045139507869,36
VARITY_R_rankscore,Aβ38 [%],-0.46991440987968885,0.003831077586346476,36
VARITY_ER_rankscore,Aβ38 [%],-0.46811249212063216,0.003987388124448859,36
VARITY_R_LOO_rankscore,Aβ38 [%],-0.4168865443988803,0.011426391817211173,36
VARITY_ER_LOO_rankscore,Aβ38 [%],-0.4647660734252414,0.004292384513333088,36
ESM1b_converted_rankscore,Aβ38 [%],-0.33953278917080776,0.04277194244290323,36
AlphaMissense_rankscore,Aβ38 [%],-0.3953907688699622,0.01699602248402046,36
PHACTboost_rankscore,Aβ38 [%],-0.268520306921627,0.11330733993058141,36
MutFormer_rankscore,Aβ38 [%],-0.3985176996835269,0.016066724243948335,36
MutScore_rankscore,Aβ38 [%],-0.19516915054901782,0.2539951730637723,36
CADD_raw_rankscore,Aβ38 [%],-0.3173949424166838,0.059259749924017814,36
DANN_rankscore,Aβ38 [%],-0.17903340020340922,0.29613347069242973,36
fathmm-XF_coding_rankscore,Aβ38 [%],-0.06319989702664434,0.7142283752876621,36
Eigen-raw_coding_rankscore,Aβ38 [%],-0.37855579868708966,0.02280747772809388,36
