Predictor,Outcome,rho,p_value,n
SIFT_converted_rankscore,AAO,-0.3399713614455798,0.00021495510635148867,114
SIFT4G_converted_rankscore,AAO,-0.3386986065656152,0.00022778581960123255,114
Polyphen2_HDIV_rankscore,AAO,-0.1911681411775903,0.0416045801443231,114
Polyphen2_HVAR_rankscore,AAO,-0.20928069761259363,0.025437833960196873,114
MutationTaster_rankscore,AAO,-0.23839091502618673,0.010643080183935389,114
MutationAssessor_rankscore,AAO,-0.27125503697283104,0.003508941458079215,114
PROVEAN_converted_rankscore,AAO,-0.27778340672462837,0.0027683540512526686,114
VEST4_rankscore,AAO,-0.29005355893383056,0.00174581682768369,114
MetaSVM_rankscore,AAO,0.07022792310166426,0.45779483797469067,114
MetaLR_rankscore,AAO,-0.24078706762840132,0.009861276679849864,114
MetaRNN_rankscore,AAO,-0.455790352117332,3.471736935096455e-07,114
M-CAP_rankscore,AAO,-0.3601771102415048,8.909329632524259e-05,113
REVEL_rankscore,AAO,-0.41100674373771917,5.5621114045959605e-06,114
MutPred2_rankscore,AAO,-0.30073158401181055,0.0011493875550699288,114
MVP_rankscore,AAO,-0.22618102718514657,0.01552972682304759,114
gMVP_rankscore,AAO,-0.4047216433850118,7.960075565175582e-06,114
MPC_rankscore,AAO,-0.2669823779503454,0.00408540130602507,114
PrimateAI_rankscore,AAO,-0.14100100051991762,0.13455625010902802,114
DEOGEN2_rankscore,AAO,-0.35142389051548306,0.00012614787296180146,114
BayesDel_addAF_rankscore,AAO,-0.3153063600295007,0.0006330455686691652,114
BayesDel_noAF_rankscore,AAO,-0.2658277363331205,0.004255085217535652,114
ClinPred_rankscore,AAO,-0.3379837278517873,0.0002352999593038601,114
LIST-S2_rankscore,AAO,-0.10423688402981916,0.26972776735877746,114
VARITY_R_rankscore,AAO,-0.3616776123713183,7.691524540622155e-05,114
VARITY_ER_rankscore,AAO,-0.3962473244615555,1.2761272838461752e-05,114
VARITY_R_LOO_rankscore,AAO,-0.33921175541649573,0.0002225297298929934,114
VARITY_ER_LOO_rankscore,AAO,-0.3936466969525407,1.4712338402566722e-05,114
ESM1b_converted_rankscore,AAO,-0.33350684847667844,0.00028782096254717,114
AlphaMissense_rankscore,AAO,-0.3115492928528867,0.0007404065748815185,114
PHACTboost_rankscore,AAO,-0.287808941192616,0.0019023450985925757,114
MutFormer_rankscore,AAO,-0.3649700086844698,6.538218256976861e-05,114
MutScore_rankscore,AAO,-0.29872092507240644,0.0012450164124804344,114
CADD_raw_rankscore,AAO,-0.1780417138258854,0.05806767329777007,114
DANN_rankscore,AAO,-0.14638315964132068,0.12015963249409645,114
fathmm-XF_coding_rankscore,AAO,-0.18814927591298117,0.04499653503015622,114
Eigen-raw_coding_rankscore,AAO,-0.248453599145743,0.007688430240773957,114
